date,1. open,2. high,3. low,4. close,5. volume,SMA,RSI,OBV,Real Upper Band,Real Middle Band,Real Lower Band,sentiment,relevance
2000-06-23,,,,,,0.7282,54.671,6233024631.0,0.8092,0.7088,0.6083,,
2000-06-26,,,,,,0.7364,58.7353,6418379216.0,0.8228,0.717,0.6112,,
2000-06-27,,,,,,0.7401,53.6795,6214908613.0,0.8279,0.7229,0.618,,
2000-06-28,,,,,,0.7477,58.0724,6501337699.0,0.8356,0.7323,0.6289,,
2000-06-29,,,,,,0.7513,51.7988,6297676696.0,0.8374,0.7373,0.6372,,
2000-06-30,,,,,,0.7586,53.7066,6620774619.0,0.842,0.7419,0.6417,,
2000-07-03,,,,,,0.765,55.2756,6691603489.0,0.8471,0.7476,0.6481,,
2000-07-05,,,,,,0.7719,51.8565,6426387224.0,0.8487,0.7515,0.6542,,
2000-07-06,,,,,,0.7779,52.1977,6735933133.0,0.8511,0.7541,0.6572,,
2000-07-07,,,,,,0.7874,56.9932,6999536596.0,0.8579,0.7594,0.661,,
2000-07-10,,,,,,0.7969,61.2727,7397332993.0,0.8715,0.7663,0.6612,,
2000-07-11,,,,,,0.8036,60.8124,7039436636.0,0.8794,0.7749,0.6703,,
2000-07-12,,,,,,0.8071,63.8024,7264870461.0,0.8935,0.7836,0.6737,,
2000-07-13,,,,,,0.81,57.9597,6819210816.0,0.8939,0.792,0.6902,,
2000-07-14,,,,,,0.8165,59.9353,7009487806.0,0.8964,0.8007,0.7049,,
2000-07-17,,,,,,0.8209,60.9645,7269490466.0,0.8948,0.8102,0.7256,,
2000-07-18,,,,,,0.8268,58.2112,6951085348.0,0.8941,0.8169,0.7396,,
2000-07-19,,,,,,0.825,48.139,6493212091.0,0.8922,0.8184,0.7447,,
2000-07-20,,,,,,0.8291,52.8411,6958785356.0,0.8915,0.8181,0.7446,,
2000-07-21,,,,,,0.8304,49.7175,6762549960.0,0.8915,0.8179,0.7443,,
2000-07-24,,,,,,0.8254,41.5189,6350378348.0,0.8967,0.8157,0.7346,,
2000-07-25,,,,,,0.8238,44.3015,6561985759.0,0.8985,0.8126,0.7268,,
2000-07-26,,,,,,0.8219,44.3015,6561985759.0,0.9,0.8114,0.7227,,
2000-07-27,,,,,,0.8193,48.3385,6856971653.0,0.8992,0.8095,0.7198,,
2000-07-28,,,,,,0.8098,42.0897,6619077816.0,0.9029,0.8073,0.7117,,
2000-07-31,,,,,,0.8033,47.081,6774377171.0,0.9034,0.8061,0.7089,,
